,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2023-04-04 00:00:00,27800.0,28444.44,27662.79,28165.47,24452.88,60.42,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-05 00:00:00,28165.47,28775.0,27805.1,28170.01,24557.59,60.46,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-06 00:00:00,28170.01,28182.05,27711.0,28033.82,24655.51,58.94,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-07 00:00:00,28033.83,28100.0,27766.94,27906.33,24747.09,57.47,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-08 00:00:00,27906.34,28154.99,27859.02,27938.38,24836.98,57.76,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-09 00:00:00,27938.38,28530.0,27800.0,28323.76,24935.2,61.22,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-10 00:00:00,28323.76,29770.0,28170.0,29637.34,25067.66,70.28,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-11 00:00:00,29637.35,30550.0,29590.0,30200.42,25212.24,73.2,,,,,967500.0,,,,,,,2711249.9999999967
0,2023-04-12 00:00:00,30200.43,30486.0,29637.4,29888.07,25343.95,69.09,,2023-04-12 00:00:00,多頭進場,30200.43,967500.0,800.899,30804.4386,28992.41,,"Long Win : 0
Long Lose : 0
Uncertain : 0
Nothing : 1",,1743749.9999999967
0,2023-04-13 00:00:00,29888.07,30595.0,29854.59,30373.84,25485.64,71.78,,,,,967500.0,,,,,"Long Win : 0
Long Lose : 0
Uncertain : 0
Nothing : 1",,1743749.9999999967
0,2023-04-14 00:00:00,30373.84,31000.0,29966.0,30466.93,25625.96,72.28,,,,,967500.0,,,,,"Long Win : 1
Long Lose : 0
Uncertain : 0
Nothing : 0",,3194999.999999997
0,2023-04-15 00:00:00,30466.93,30595.6,30202.0,30295.09,25757.48,69.77,,,,,967500.0,,,,,,,3194999.999999997
0,2023-04-16 00:00:00,30295.1,30549.99,30120.0,30304.65,25885.57,69.84,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-17 00:00:00,30304.66,30316.06,29240.65,29430.27,25985.42,57.71,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-18 00:00:00,29430.27,30485.0,29096.78,30380.01,26109.21,64.93,,,,,970000.0,,,,,,,3204999.999999997
0,2023-04-19 00:00:00,30380.01,30413.53,28520.0,28797.1,26184.93,49.55,,,,,970000.0,,,,,,,3204999.999999997
